teacher,budget,rep,policy_acc,sequence_acc,survivors
fly,16,9,1.0,1.0,5
fly,16,10,1.0,1.0,4
fly,16,11,1.0,1.0,4
fly,16,12,1.0,1.0,4
fly,16,13,1.0,1.0,4
fly,16,14,1.0,1.0,4
fly,16,15,1.0,1.0,4
fly,16,16,1.0,1.0,4
fly,16,17,1.0,1.0,4
fly,16,18,1.0,1.0,4
fly,16,19,1.0,1.0,4
fly,16,20,1.0,1.0,4
fly,16,21,1.0,1.0,4
fly,16,22,1.0,1.0,4
fly,16,23,1.0,1.0,4
fly,16,24,1.0,1.0,4
fly,16,25,1.0,1.0,4
fly,16,26,1.0,1.0,4
fly,16,27,1.0,1.0,4
fly,16,28,1.0,1.0,4
fly,16,29,1.0,1.0,4
fly,16,30,1.0,1.0,4
fly,16,31,1.0,1.0,4
fly,16,32,1.0,1.0,4
fly,16,33,1.0,1.0,4
fly,16,34,1.0,1.0,4
fly,16,35,1.0,1.0,4
fly,16,36,1.0,1.0,4
fly,16,37,1.0,1.0,4
fly,16,38,1.0,1.0,4
fly,16,39,1.0,1.0,4
transformer,4,0,0.625,0.25,5664
transformer,4,1,0.5,0.0,5808
transformer,4,2,0.5833333333333334,0.125,5532
transformer,4,3,0.5,0.0,5808
transformer,4,4,0.7916666666666666,0.375,5752
transformer,4,5,0.625,0.125,5752
transformer,4,6,0.7083333333333334,0.375,5752
transformer,4,7,0.5833333333333334,0.125,5276
transformer,4,8,0.5833333333333334,0.125,5532
transformer,4,9,0.625,0.25,5752
transformer,4,10,0.6666666666666666,0.25,5808
transformer,4,11,0.7083333333333334,0.25,5276
transformer,4,12,0.7083333333333334,0.25,5664
transformer,4,13,0.7083333333333334,0.375,5752
transformer,4,14,0.625,0.125,5664
transformer,4,15,0.5833333333333334,0.125,5752
transformer,4,16,0.625,0.375,5768
transformer,4,17,0.6666666666666666,0.25,5276
transformer,4,18,0.7083333333333334,0.375,5752
transformer,4,19,0.5416666666666666,0.125,5276
transformer,4,20,0.625,0.25,5752
transformer,4,21,0.5833333333333334,0.125,5664
transformer,4,22,0.5416666666666666,0.125,5664
transformer,4,23,0.625,0.125,5664
transformer,4,24,0.7083333333333334,0.25,5276
transformer,4,25,0.7083333333333334,0.25,5664
transformer,4,26,0.625,0.25,5752
transformer,4,27,0.7083333333333334,0.25,5752
transformer,4,28,0.5,0.0,5808
transformer,4,29,0.7083333333333334,0.25,5664
transformer,4,30,0.5833333333333334,0.125,6528
transformer,4,31,0.75,0.375,5752
transformer,4,32,0.625,0.25,5664
transformer,4,33,0.5833333333333334,0.125,5768
transformer,4,34,0.625,0.25,5752
transformer,4,35,0.5833333333333334,0.125,6528
transformer,4,36,0.6666666666666666,0.25,5276
transformer,4,37,0.625,0.125,5768
transformer,4,38,0.6666666666666666,0.125,5276
transformer,4,39,0.7083333333333334,0.25,5664
transformer,8,0,0.75,0.25,332
transformer,8,1,0.6666666666666666,0.125,356
transformer,8,2,0.7916666666666666,0.5,352
transformer,8,3,0.7916666666666666,0.375,388
transformer,8,4,0.7083333333333334,0.25,361
transformer,8,5,0.7916666666666666,0.375,339
transformer,8,6,0.7916666666666666,0.5,388
transformer,8,7,0.75,0.25,356
transformer,8,8,0.75,0.25,356
transformer,8,9,0.7916666666666666,0.5,358
transformer,8,10,0.9166666666666666,0.75,312
transformer,8,11,0.8333333333333334,0.5,350
transformer,8,12,0.75,0.25,370
transformer,8,13,0.75,0.25,356
transformer,8,14,0.875,0.75,352
transformer,8,15,0.7916666666666666,0.5,352
transformer,8,16,0.875,0.625,339
transformer,8,17,0.8333333333333334,0.625,371
transformer,8,18,0.8333333333333334,0.5,354
transformer,8,19,0.75,0.25,356
transformer,8,20,0.9166666666666666,0.75,312
transformer,8,21,0.75,0.25,338
transformer,8,22,0.75,0.25,350
transformer,8,23,0.875,0.625,339
transformer,8,24,0.75,0.25,356
transformer,8,25,0.875,0.75,352
transformer,8,26,0.7083333333333334,0.25,328
transformer,8,27,0.8333333333333334,0.5,336
transformer,8,28,0.8333333333333334,0.5,350
transformer,8,29,0.7083333333333334,0.375,267
transformer,8,30,0.6666666666666666,0.125,371
transformer,8,31,0.8333333333333334,0.625,332
transformer,8,32,0.6666666666666666,0.125,356
transformer,8,33,0.75,0.25,350
transformer,8,34,0.75,0.375,350
transformer,8,35,0.7083333333333334,0.25,354
transformer,8,36,0.7916666666666666,0.5,361
transformer,8,37,0.625,0.125,516
transformer,8,38,0.7916666666666666,0.5,361
transformer,8,39,0.625,0.125,344
transformer,12,0,0.75,0.375,30
transformer,12,1,0.7916666666666666,0.5,24
transformer,12,2,0.8333333333333334,0.5,22
transformer,12,3,0.9166666666666666,0.75,26
transformer,12,4,0.8333333333333334,0.5,22
transformer,12,5,0.9166666666666666,0.75,19
transformer,12,6,0.9583333333333334,0.875,26
transformer,12,7,0.9166666666666666,0.875,26
transformer,12,8,0.9583333333333334,0.875,22
transformer,12,9,0.8333333333333334,0.5,22
transformer,12,10,0.875,0.625,22
transformer,12,11,0.9583333333333334,0.875,22
transformer,12,12,0.9583333333333334,0.875,16
transformer,12,13,0.9166666666666666,0.875,26
transformer,12,14,0.9166666666666666,0.75,23
transformer,12,15,0.875,0.75,17
transformer,12,16,0.9583333333333334,0.875,22
transformer,12,17,1.0,1.0,14
