teacher,budget,rep,policy_acc,sequence_acc,alive_swaps,candidate_edges
transformer,6,94,0.5833333333333334,0.125,2,92
transformer,6,95,0.6666666666666666,0.5,2,92
transformer,6,96,0.625,0.25,2,92
transformer,6,97,0.5833333333333334,0.25,2,92
transformer,6,98,0.6666666666666666,0.375,2,92
transformer,6,99,0.8333333333333334,0.5,2,92
transformer,8,0,0.7916666666666666,0.5,2,80
transformer,8,1,0.75,0.625,2,80
transformer,8,2,0.875,0.625,2,80
transformer,8,3,0.75,0.625,2,80
transformer,8,4,0.7916666666666666,0.625,2,80
transformer,8,5,0.875,0.625,2,80
transformer,8,6,0.75,0.5,2,80
transformer,8,7,0.75,0.5,2,76
transformer,8,8,0.6666666666666666,0.375,2,80
transformer,8,9,0.7916666666666666,0.5,2,80
transformer,8,10,0.7916666666666666,0.625,2,80
transformer,8,11,0.75,0.5,2,76
transformer,8,12,0.75,0.5,2,80
transformer,8,13,0.7916666666666666,0.5,2,80
transformer,8,14,0.7083333333333334,0.5,2,80
transformer,8,15,0.75,0.375,2,80
transformer,8,16,0.7083333333333334,0.5,2,80
transformer,8,17,0.7083333333333334,0.375,2,80
transformer,8,18,0.6666666666666666,0.375,2,80
transformer,8,19,0.875,0.625,2,76
transformer,8,20,0.7916666666666666,0.5,2,80
transformer,8,21,0.8333333333333334,0.5,2,76
transformer,8,22,0.7916666666666666,0.5,2,80
transformer,8,23,0.8333333333333334,0.5,2,80
transformer,8,24,0.875,0.625,2,76
transformer,8,25,0.7916666666666666,0.5,2,80
transformer,8,26,0.7916666666666666,0.5,2,80
transformer,8,27,0.7083333333333334,0.375,2,80
transformer,8,28,0.875,0.625,2,76
transformer,8,29,0.6666666666666666,0.25,2,80
transformer,8,30,0.875,0.625,2,76
transformer,8,31,0.7916666666666666,0.5,2,80
transformer,8,32,0.8333333333333334,0.5,2,80
transformer,8,33,0.75,0.375,2,76
transformer,8,34,0.7916666666666666,0.5,2,76
transformer,8,35,0.75,0.5,2,80
transformer,8,36,0.7083333333333334,0.375,2,80
transformer,8,37,0.6666666666666666,0.25,2,80
transformer,8,38,0.8333333333333334,0.5,2,76
transformer,8,39,0.8333333333333334,0.5,2,80
transformer,8,40,0.7916666666666666,0.5,2,80
transformer,8,41,0.7916666666666666,0.5,2,80
transformer,8,42,0.75,0.5,2,80
transformer,8,43,0.7916666666666666,0.5,2,76
transformer,8,44,0.7916666666666666,0.5,2,80
transformer,8,45,0.7916666666666666,0.5,2,80
transformer,8,46,0.75,0.375,2,80
transformer,8,47,0.7916666666666666,0.5,2,80
transformer,8,48,0.75,0.5,2,80
transformer,8,49,0.7916666666666666,0.5,2,76
transformer,8,50,0.7916666666666666,0.5,2,76
transformer,8,51,0.7083333333333334,0.5,2,80
transformer,8,52,0.7916666666666666,0.5,2,76
transformer,8,53,0.6666666666666666,0.25,2,80
transformer,8,54,0.7916666666666666,0.625,2,80
transformer,8,55,0.7916666666666666,0.5,2,76
transformer,8,56,0.75,0.5,2,76
transformer,8,57,0.8333333333333334,0.625,2,80
transformer,8,58,0.6666666666666666,0.375,2,80
transformer,8,59,0.75,0.5,2,80
transformer,8,60,0.8333333333333334,0.5,2,80
transformer,8,61,0.75,0.5,2,80
transformer,8,62,0.8333333333333334,0.5,2,76
transformer,8,63,0.7083333333333334,0.5,2,80
transformer,8,64,0.7916666666666666,0.5,2,80
transformer,8,65,0.7916666666666666,0.5,2,80
transformer,8,66,0.7083333333333334,0.5,2,76
transformer,8,67,0.7916666666666666,0.5,2,80
transformer,8,68,0.7916666666666666,0.5,2,80
transformer,8,69,0.7083333333333334,0.375,2,80
transformer,8,70,0.75,0.5,2,80
transformer,8,71,0.7083333333333334,0.375,2,80
transformer,8,72,0.75,0.375,2,80
transformer,8,73,0.875,0.625,2,76
transformer,8,74,0.7916666666666666,0.5,2,80
transformer,8,75,0.6666666666666666,0.375,2,80
transformer,8,76,0.75,0.375,2,80
transformer,8,77,0.7916666666666666,0.5,2,76
transformer,8,78,0.7916666666666666,0.625,2,80
transformer,8,79,0.75,0.5,2,80
transformer,8,80,0.75,0.5,2,80
transformer,8,81,0.75,0.375,2,80
transformer,8,82,0.6666666666666666,0.375,2,76
transformer,8,83,0.7916666666666666,0.5,2,80
transformer,8,84,0.7916666666666666,0.625,2,76
transformer,8,85,0.75,0.375,2,80
transformer,8,86,0.7916666666666666,0.5,2,80
transformer,8,87,0.875,0.625,2,80
transformer,8,88,0.75,0.625,2,80
transformer,8,89,0.6666666666666666,0.25,2,80
transformer,8,90,0.75,0.5,2,76
transformer,8,91,0.7916666666666666,0.625,2,80
transformer,8,92,0.7083333333333334,0.375,2,80
transformer,8,93,0.7083333333333334,0.5,2,76
transformer,8,94,0.7916666666666666,0.5,2,80
transformer,8,95,0.7916666666666666,0.625,2,76
transformer,8,96,0.8333333333333334,0.5,2,80
transformer,8,97,0.8333333333333334,0.5,2,76
transformer,8,98,0.875,0.625,2,80
transformer,8,99,0.8333333333333334,0.5,2,76
transformer,10,0,0.7916666666666666,0.5,2,64
transformer,10,1,0.7916666666666666,0.625,2,68
transformer,10,2,0.7916666666666666,0.5,2,68
transformer,10,3,0.875,0.625,2,64
transformer,10,4,0.7916666666666666,0.625,2,64
transformer,10,5,0.7916666666666666,0.5,2,68
transformer,10,6,0.7916666666666666,0.5,2,60
transformer,10,7,0.8333333333333334,0.625,2,64
transformer,10,8,0.875,0.625,2,68
transformer,10,9,0.8333333333333334,0.625,2,62
transformer,10,10,0.9166666666666666,0.75,2,66
transformer,10,11,0.9166666666666666,0.75,2,64
transformer,10,12,0.875,0.625,2,68
transformer,10,13,0.7916666666666666,0.5,2,68
